No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
368,IAU,i-80 Gold Corp.,588.95M,1.6,4.58%,74.79M
369,CVO,Coveo Solutions Inc.,588.56M,6.1,0.99%,174.88M
370,OBE,Obsidian Energy Ltd.,587.57M,7.51,-3.47%,683.80M
371,FVL,Freegold Ventures Limited,587.47M,1.28,6.67%,-
372,ECN,ECN Capital Corp.,579.11M,2.1,1.94%,143.40M
373,SLS,Solaris Resources Inc.,564.61M,3.69,6.03%,-
374,AW.UN,A&W Revenue Royalties Income Fund,556.65M,35.1,1.47%,55.27M
375,CGY,Calian Group Ltd.,553.36M,46.8,0.04%,741.39M
376,WJX,Wajax Corporation,546.78M,25.75,2.35%,2.10B
377,CHR,Chorus Aviation Inc.,544.03M,2.74,1.11%,1.72B
378,CGO,Cogeco Inc.,543.04M,58.47,2.45%,3.07B
379,MAL,Magellan Aerospace Corporation,538.25M,9.29,-1.38%,914.74M
380,AGF.B,AGF Management Limited,537.57M,8.3,-3.49%,517.17M
381,ISV,Information Services Corporation,521.55M,28.78,0.07%,236.35M
382,GAU,Galiano Gold Inc.,521.55M,1.99,-1.97%,130.92M
383,AI,Atrium Mortgage Investment Corporation,512.48M,11.59,0.43%,56.76M
384,TSND,TerrAscend Corp.,511.69M,1.77,1.14%,457.08M
385,WEED,Canopy Growth Corporation,509.18M,6.11,2.17%,287.10M
386,PMET,Patriot Battery Metals Inc.,506.60M,3.87,8.10%,-
387,VCM,Vecima Networks Inc.,499.00M,20.4,-0.63%,291.05M
388,SOIL,Saturn Oil & Gas Inc.,495.76M,2.36,-2.88%,680.72M
389,RAY.B,Stingray Group Inc.,490.95M,7.26,-,355.51M
390,RAY.A,Stingray Group Inc.,490.95M,7.24,0.84%,355.51M
391,DIV,Diversified Royalty Corp.,483.12M,2.96,1.37%,61.87M
392,ESI,Ensign Energy Services Inc.,476.21M,2.58,-1.90%,1.70B
393,FTN,Financial 15 Split Corp.,466.53M,8.44,-0.12%,197.86M
394,VBNK,VersaBank,464.76M,17.93,0.17%,113.82M
395,BLN,Blackline Safety Corp.,460.59M,5.64,-1.05%,121.63M
396,VLE,Valeura Energy Inc.,455.82M,4.03,-5.40%,772.72M
397,GGD,GoGold Resources Inc.,448.16M,1.38,1.47%,43.51M
398,JAG,Jaguar Mining Inc.,444.90M,5.54,-1.42%,198.25M
399,TWC,TWC Enterprises Limited,444.63M,18.24,-1.51%,266.81M
400,VHI,Vitalhub Corp.,441.07M,8.67,1.52%,58.32M
401,QBTC,The Bitcoin Fund,437.61M,85.79,2.84%,-
402,DXT,Dexterra Group Inc.,437.10M,6.83,2.09%,1.17B
403,PHX,PHX Energy Services Corp.,437.03M,9.15,-2.66%,655.05M
404,PLZ.UN,Plaza Retail REIT,433.77M,3.93,0.77%,120.65M
405,PZA,Pizza Pizza Royalty Corp.,430.44M,13.32,1.83%,40.47M
406,GTWO,G2 Goldfields Inc.,427.48M,1.83,2.23%,530.65K
407,GBT,BMTC Group Inc.,425.10M,13.4,2.21%,581.31M
408,ACB,Aurora Cannabis Inc.,424.71M,7.77,3.19%,278.98M
409,FC,Firm Capital Mortgage Investment Corporation,419.13M,11.71,2.63%,45.43M
410,TBL,Taiga Building Products Ltd.,412.35M,3.83,0.26%,1.65B
411,MHC.U,Flagship Communities Real Estate Investment Trust,407.06M,15.54,2.24%,106.85M
412,URC,Uranium Royalty Corp.,407.04M,3.35,-2.05%,42.71M
413,PAY,Payfare Inc.,405.59M,8.35,-1.07%,205.11M
414,KSI,"kneat.com, inc.",397.10M,4.67,1.08%,40.66M
415,MARI,Marimaca Copper Corp.,393.97M,3.99,2.31%,-
416,ETG,Entrée Resources Ltd.,392.54M,1.96,1.55%,-
417,MRD,Melcor Developments Ltd.,392.43M,13.13,1.78%,333.37M
418,GRA,NanoXplore Inc.,378.75M,2.22,-,129.99M
419,HLF,High Liner Foods Incorporated,375.14M,12.38,-1.35%,1.36B
420,ACQ,AutoCanada Inc.,373.51M,16.66,3.35%,6.16B
421,ORE,Orezone Gold Corporation,372.90M,0.82,1.23%,337.25M
422,MRT.UN,Morguard Real Estate Investment Trust,368.33M,5.73,1.42%,258.49M
423,BPF.UN,Boston Pizza Royalties Income Fund,367.69M,17.28,-0.97%,49.24M
424,D.UN,Dream Office Real Estate Investment Trust,364.12M,22.29,-2.19%,199.21M
425,CSW.A,Corby Spirit and Wine Limited,364.00M,12.88,0.08%,229.66M
426,CSW.B,Corby Spirit and Wine Limited,364.00M,12.3,-0.81%,229.66M
427,NUAG,New Pacific Metals Corp.,363.53M,2.09,-1.42%,-
428,BK,Canadian Banc Corp.,363.48M,11.45,-0.09%,96.94M
429,ARR,Altius Renewable Royalties Corp.,363.29M,11.8,-,-
430,KBL,K-Bro Linen Inc.,362.99M,34.69,-0.89%,343.05M
431,TOT,Total Energy Services Inc.,360.92M,9.29,-1.17%,863.79M
432,PRV.UN,Pro Real Estate Investment Trust,349.49M,5.86,-0.34%,99.97M
433,PNE,Pine Cliff Energy Ltd.,347.32M,0.98,1.03%,181.26M
434,RPI.UN,Richards Packaging Income Fund,346.73M,31.65,0.16%,415.52M
435,III,Imperial Metals Corporation,346.40M,2.2,2.80%,382.33M
436,QRC,Queen's Road Capital Investment Ltd.,346.37M,0.76,-,157.04M
437,NEO,Neo Performance Materials Inc.,339.86M,8.31,2.09%,677.80M
438,CPH,Cipher Pharmaceuticals Inc.,339.82M,13.28,-6.81%,30.33M
439,WRN,Western Copper and Gold Corporation,338.95M,1.67,-2.34%,-
440,HTL,Hamilton Thorne Ltd.,335.51M,2.17,-0.46%,99.33M
441,MSA,Mineros S.A.,334.75M,1.25,-0.79%,656.04M
442,CFW,Calfrac Well Services Ltd.,333.75M,3.81,-2.06%,1.66B
443,DRX,ADF Group Inc.,333.69M,11.16,-0.09%,352.82M
444,CKI,Clarke Inc.,333.16M,23.88,-,81.07M
445,GLO,Global Atomic Corporation,331.31M,1.44,-0.69%,932.90K
446,FFN,North American Financial 15 Split Corp.,327.97M,6,-,205.81M
447,DR,Medical Facilities Corporation,327.88M,13.72,-0.80%,605.32M
448,ECOR,Ecora Resources PLC,326.84M,1.31,4.80%,93.92M
449,LIRC,Lithium Royalty Corp.,325.55M,5.9,0.68%,8.43M
450,SPLT,Brompton Split Corp. Preferred Share ETF,316.91M,10.65,-0.09%,-
451,BTB.UN,BTB Real Estate Investment Trust,316.52M,3.6,0.28%,128.06M
452,PRB,Probe Gold Inc.,315.20M,1.76,1.15%,-
453,DSV,Discovery Silver Corp.,315.15M,0.76,-3.80%,-
454,ENS,E Split Corp.,312.10M,12.6,-1.49%,31.24M
455,MND,Mandalay Resources Corporation,311.44M,3.32,-0.60%,287.50M
456,ADN,Acadian Timber Corp.,309.52M,17.64,-0.06%,120.41M
457,CNL,Collective Mining Ltd.,309.16M,4.49,-0.88%,-
458,XTC,Exco Technologies Limited,306.30M,8.01,0.88%,642.50M
459,TC,Tucows Inc.,302.55M,28.25,2.80%,480.13M
460,ERE.UN,European Residential Real Estate Investment Trust,301.09M,3.27,0.62%,143.46M
461,KITS,Kits Eyecare Ltd.,299.54M,9.83,3.58%,135.45M
462,MPC,Madison Pacific Properties Inc.,298.64M,5.36,3.47%,43.16M
463,ARG,Amerigo Resources Ltd.,293.77M,1.81,2.26%,231.71M
464,DGS,Dividend Growth Split Corp.,293.41M,6.87,1.03%,85.68M
465,STEP,STEP Energy Services Ltd.,277.36M,3.72,-3.88%,1.00B
466,SYZ,Sylogist Ltd.,267.16M,11.46,0.26%,66.64M
467,WILD,WildBrain Ltd.,263.90M,1.29,3.20%,461.82M
468,ITE,i3 Energy Plc,262.89M,0.22,2.33%,226.85M
469,PIF,Polaris Renewable Energy Inc.,259.00M,12.25,-0.33%,105.28M
470,OGI,Organigram Holdings Inc.,254.06M,2.39,2.14%,149.21M
471,GOLD,GoldMining Inc.,252.99M,1.34,-2.19%,-
472,AIM,Aimia Inc.,252.53M,2.66,0.76%,396.20M
473,PRYM,Prime Mining Corp.,252.39M,1.67,-3.47%,-
474,STC,Sangoma Technologies Corporation,251.53M,7.5,-,338.45M
475,GTE,Gran Tierra Energy Inc.,250.90M,8.47,2.79%,900.64M
476,BANK,Evolve Canadian Banks and Lifecos Enhanced Yield Index Fund,249.16M,7.91,0.64%,-
477,PRN,Profound Medical Corp.,247.02M,10.6,5.05%,10.78M
478,ECO,EcoSynthetix Inc.,246.09M,4.19,0.24%,19.86M
479,NDM,Northern Dynasty Minerals Ltd.,239.29M,0.46,2.25%,-
480,OLY,Olympia Financial Group Inc.,237.05M,98.51,-,103.18M
481,GDC,Genesis Land Development Corp.,232.82M,4.11,0.24%,276.06M
482,TSAT,Telesat Corporation,229.23M,15.97,-2.14%,645.60M
483,GH,Gamehost Inc.,220.02M,10.39,0.10%,83.54M
484,TNZ,Tenaz Energy Corp.,219.58M,7.94,-1.12%,62.56M
485,SBC,Brompton Split Banc Corp.,219.36M,9.89,0.41%,35.31M
486,CEW,iShares Equal Weight Banc & Lifeco ETF,218.88M,19.5,0.78%,-
487,ERD,Erdene Resource Development Corporation,216.15M,0.62,-,-
488,LEV,The Lion Electric Company,214.91M,0.89,-6.32%,310.04M
489,ASM,Avino Silver & Gold Mines Ltd.,214.69M,1.58,-0.63%,71.21M
490,FCD.UN,Firm Capital Property Trust,213.43M,5.8,0.35%,59.98M
491,FAR,Foraco International SA,212.96M,2.22,2.78%,460.72M
492,URB,Urbana Corporation,211.12M,5.13,0.59%,127.34M
493,URB.A,Urbana Corporation,211.12M,5.1,3.45%,127.34M
494,LUC,Lucara Diamond Corp.,207.22M,0.44,-2.22%,244.07M
495,AII,Almonty Industries Inc.,206.89M,0.81,1.25%,25.64M
496,AIDX,Healwell AI Inc.,203.31M,1.4,3.70%,13.58M
497,DII.B,Dorel Industries Inc.,201.68M,6.17,-1.28%,1.93B
498,SPPP,Sprott Physical Platinum and Palladium Trust,200.43M,13.75,1.25%,-
499,CRDL,Cardiol Therapeutics Inc.,198.46M,2.87,1.06%,-
500,VOXR,Vox Royalty Corp.,197.98M,3.99,1.53%,16.74M
501,PTM,Platinum Group Metals Ltd.,197.79M,2.05,6.22%,-
502,MXG,Maxim Power Corp.,196.70M,3.92,0.77%,93.23M
503,GIVX,Givex Corp.,196.05M,1.48,-,83.84M
504,DNG,Dynacor Group Inc.,195.64M,5.37,-,361.53M
505,AMC,Arizona Metals Corp.,195.41M,1.7,4.29%,-
506,QTRH,Quarterhill Inc.,191.66M,1.76,6.02%,207.24M
507,STGO,Steppe Gold Ltd.,189.62M,0.74,-1.33%,-
508,FRX,Fennec Pharmaceuticals Inc.,189.44M,6.7,-,66.91M
509,DLCG,Dominion Lending Centres Inc.,187.37M,4.05,3.85%,67.76M
510,TNT.UN,True North Commercial Real Estate Investment Trust,186.20M,12.95,-1.07%,130.45M
511,THNC,Thinkific Labs Inc.,184.13M,2.65,-1.85%,85.81M
512,ADW.B,Andrew Peller Limited,181.83M,4.86,-,384.84M
513,ADW.A,Andrew Peller Limited,181.13M,4.02,-0.50%,384.84M
514,FORA,VerticalScope Holdings Inc.,181.06M,8.39,-0.47%,88.65M
515,IPO,InPlay Oil Corp.,180.24M,1.94,-3.00%,152.45M
516,EDT,Spectral Medical Inc.,180.08M,0.64,3.23%,1.90M
517,VLN,Velan Inc.,177.00M,8.2,-7.34%,486.60M
518,BRAG,Bragg Gaming Group Inc.,174.87M,7.01,-2.10%,138.73M
519,KEG.UN,The Keg Royalties Income Fund,172.35M,15.24,0.40%,33.79M
520,ASCU,Arizona Sonoran Copper Company Inc.,170.93M,1.65,5.77%,-
521,PRQ,Petrus Resources Ltd.,169.15M,1.37,0.74%,92.21M
522,ALYA,Alithya Group Inc.,168.72M,1.77,0.57%,480.41M
523,GDV,Global Dividend Growth Split Corp.,168.71M,10.79,0.37%,-
524,SMT,Sierra Metals Inc.,167.01M,0.77,-2.53%,326.09M
525,FDY,Faraday Copper Corp.,166.32M,0.84,3.70%,-
526,ITH,International Tower Hill Mines Ltd.,165.75M,0.79,-4.82%,-
527,QIPT,Quipt Home Medical Corp.,165.03M,3.83,2.96%,334.27M
528,WEF,Western Forest Products Inc.,164.71M,0.48,-7.69%,1.03B
529,LAM,Laramide Resources Ltd.,159.34M,0.64,-4.48%,-
530,GXE,Gear Energy Ltd.,158.15M,0.57,-5.00%,134.93M
531,PYR,PyroGenesis Canada Inc.,157.67M,0.85,-1.16%,14.14M
532,CXI,"Currency Exchange International, Corp.",156.58M,24.59,-0.12%,117.39M
533,SHLE,Source Energy Services Ltd.,156.45M,11.35,-1.73%,625.02M
534,KEI,Kolibri Global Energy Inc.,156.17M,4.2,-3.89%,74.44M
535,DRR.U,Dream Residential Real Estate Investment Trust,155.36M,7.24,-1.03%,33.77M
536,DCM,DATA Communications Management Corp.,154.31M,2.7,-3.23%,507.69M
537,RBY,Rubellite Energy Inc.,153.44M,2.24,-1.32%,106.10M
538,JOY,Journey Energy Inc.,152.15M,2.39,-3.63%,179.72M
539,PCOR,PIMCO Managed Core Bond Pool,151.59M,18.55,-0.11%,-
540,LGO,Largo Inc.,148.74M,2.58,11.21%,217.48M
541,LGD,Liberty Gold Corp.,148.65M,0.38,-2.56%,-
542,FSY,Forsys Metals Corp.,148.33M,0.79,3.95%,-
543,TRX,TRX Gold Corporation,148.17M,0.54,-1.82%,50.10M
544,BOS,AirBoss of America Corp.,145.15M,5.35,1.33%,538.90M
545,DF,Dividend 15 Split Corp. II,143.98M,5.94,0.51%,-
546,HAI,Haivision Systems Inc.,143.62M,5.03,-0.98%,135.12M
547,MDNA,Medicenna Therapeutics Corp.,141.57M,1.88,2.17%,-
548,DRT,DIRTT Environmental Solutions Ltd.,140.87M,0.73,-2.67%,249.80M
549,XTRA,Xtract One Technologies Inc.,139.78M,0.64,-,12.49M
550,PBY.UN,Canso Credit Trust - Canso Credit Income Fund,139.67M,15.32,0.13%,-
551,FTG,Firan Technology Group Corporation,139.43M,5.81,-0.51%,150.37M
552,BNE,Bonterra Energy Corp.,137.36M,3.58,-2.72%,264.78M
553,TXP,Touchstone Exploration Inc.,137.15M,0.58,-3.33%,66.27M
554,PNC.B,Postmedia Network Canada Corp.,134.68M,1.36,-,404.05M
555,Y,Yellow Pages Limited,133.13M,9.67,-0.10%,224.79M
556,BRE,Bridgemarq Real Estate Services Inc.,132.96M,14.17,1.07%,145.58M
557,FF,First Mining Gold Corp.,130.05M,0.14,-,-
558,DC.A,Dundee Corporation,128.65M,1.44,-0.69%,6.44M
559,MNO,Meridian Mining UK Societas,127.68M,0.42,-1.18%,-
560,EPRX,Eupraxia Pharmaceuticals Inc.,127.53M,3.63,1.40%,-
561,GCL,Colabor Group Inc.,127.52M,1.24,-0.80%,653.50M
562,GEO,Geodrill Limited,126.87M,2.7,0.37%,186.41M
563,GFP,GreenFirst Forest Products Inc.,126.08M,0.74,4.23%,386.32M
564,XAU,Goldmoney Inc.,125.32M,9.59,0.95%,78.99M
565,PSD,Pulse Seismic Inc.,124.34M,2.35,-3.69%,37.04M
566,GDL,Goodfellow Inc.,123.35M,14.72,1.24%,510.24M
567,TWM,Tidewater Midstream and Infrastructure Ltd.,122.59M,0.29,1.75%,1.99B
568,MGA,Mega Uranium Ltd.,122.42M,0.33,-,-
569,E,"Enterprise Group, Inc.",122.04M,2.01,-1.47%,38.07M
570,STLR,STLLR Gold Inc.,122.00M,1.19,0.85%,-
571,CNE,Canacol Energy Ltd,121.10M,3.53,-0.56%,465.16M
572,VGZ,Vista Gold Corp.,119.61M,1.03,5.10%,-
573,SBI,Serabi Gold plc,117.79M,1.56,-1.27%,103.81M
574,AOT,Ascot Resources Ltd.,116.56M,0.16,-3.03%,2.42M
575,EXRO,Exro Technologies Inc.,115.80M,0.32,14.55%,11.09M
576,QEC,Questerre Energy Corporation,115.70M,0.28,3.70%,34.25M
577,RCG,RF Capital Group Inc.,113.98M,7.24,-1.23%,318.61M
578,USA,Americas Gold and Silver Corporation,113.95M,0.43,2.38%,117.75M
579,CRRX,CareRx Corporation,111.76M,1.87,0.54%,366.55M
580,HLS,HLS Therapeutics Inc.,111.28M,3.6,2.86%,80.60M
581,NOVC,Nova Cannabis Inc.,108.02M,1.73,-0.57%,268.56M
582,TMQ,Trilogy Metals Inc.,107.57M,0.66,-1.49%,-
583,NEXT,NextSource Materials Inc.,105.96M,0.65,-4.41%,-
584,WPRT,Westport Fuel Systems Inc.,104.45M,6,-0.83%,445.49M
585,SRV.UN,SIR Royalty Income Fund,104.02M,12.34,1.40%,10.90M
586,RS,Real Estate Split Corp.,103.90M,13.38,-0.22%,-
587,MNS,Royal Canadian Mint - Canadian Silver Reserves,103.82M,24.15,0.92%,-
588,XAM,Xanadu Mines Limited,102.84M,0.07,8.33%,-
589,ANRG,Anaergia Inc.,102.05M,0.59,3.51%,115.92M
590,FAP,abrdn Asia-Pacific Income Fund VCC,100.99M,2.74,-,11.37M
591,HMM.A,Hammond Manufacturing Company Limited,100.88M,8.96,0.62%,235.41M
592,YGR,Yangarra Resources Ltd.,100.71M,1.02,-,145.00M
593,ELVA,Electrovaya Inc.,99.67M,2.91,-0.34%,67.73M
594,TLG,Troilus Gold Corp.,97.31M,0.33,-2.94%,-
595,CDR,Condor Energies Inc.,97.12M,1.71,0.59%,21.77M
596,SXP,Supremex Inc.,97.01M,3.96,0.25%,284.70M
597,TTNM,Titanium Transportation Group Inc.,96.76M,2.22,3.26%,459.99M
598,FURY,Fury Gold Mines Limited,95.42M,0.62,-1.59%,-
599,ONC,Oncolytics Biotech Inc.,94.71M,1.22,-0.81%,-
600,STCK,Stack Capital Group Inc.,92.80M,10.45,3.88%,2.00M
601,WRG,Western Energy Services Corp.,91.38M,2.65,-1.85%,216.27M
602,ILLM,illumin Holdings Inc.,90.79M,1.76,-1.68%,120.79M
603,WNDR,WonderFi Technologies Inc.,90.78M,0.14,-,53.38M
604,DYA,dynaCERT Inc.,89.86M,0.2,2.56%,1.02M
605,CRP,Ceres Global Ag Corp.,86.79M,2.79,-3.46%,1.26B
606,KPT,KP Tissue Inc.,85.63M,8.45,-1.52%,-
607,ROOT,Roots Corporation,85.33M,2.12,-,256.98M
608,BGI.UN,Brookfield Global Infrastructure Securities Income Fund,84.38M,5.29,1.73%,-
609,TLO,Talon Metals Corp.,84.12M,0.1,5.56%,-
610,ARA,Aclara Resources Inc.,83.20M,0.5,-,-
611,MID.UN,MINT Income Fund,82.62M,7.5,0.54%,11.75M
612,G,Augusta Gold Corp.,81.72M,0.86,-7.53%,-
613,GRID,Tantalus Systems Holding Inc.,80.34M,1.57,-0.63%,55.63M
614,SVA,Sernova Corp.,79.70M,0.24,-2.04%,-
615,SLR,Solitario Resources Corp.,78.97M,0.93,-4.12%,-
616,IS,Infrastructure Dividend Split Corp.,78.76M,15.28,1.13%,-
617,ELO,Eloro Resources Ltd.,78.69M,0.95,-3.06%,-
618,BYL,Baylin Technologies Inc.,78.58M,0.54,3.85%,75.08M
619,COG,Condor Gold Plc,77.94M,0.41,2.50%,-
620,NANO,Nano One Materials Corp.,77.90M,0.97,38.57%,-
621,TH,Theratechnologies Inc.,77.25M,1.68,5.00%,112.65M
622,WM,Wallbridge Mining Company Limited,76.22M,0.07,-6.67%,-
623,S,Sherritt International Corporation,75.48M,0.19,-,151.40M
624,LCFS,Tidewater Renewables Ltd.,74.45M,2.05,-,323.10M
625,MPCT.UN,Dream Impact Trust,73.89M,4.09,-0.24%,-5.09M
626,RBN.UN,Blue Ribbon Income Fund,73.23M,8.63,0.35%,9.83M
627,PIC.A,Premium Income Corporation,72.45M,4.34,-0.23%,21.10M
628,PNP,Pinetree Capital Ltd.,69.93M,7.45,-0.53%,14.09M
629,TSL,Tree Island Steel Ltd.,68.94M,2.62,-0.76%,210.87M
630,TRZ,Transat A.T. Inc.,68.77M,1.75,-0.57%,3.26B
631,XTG,Xtra-Gold Resources Corp.,66.31M,1.52,2.70%,-
632,SAU,St. Augustine Gold and Copper Limited,65.74M,0.07,-,-
633,CCBI,CIBC Canadian Bond Index Fund,63.91M,18.38,-0.05%,-
634,MDP,Medexus Pharmaceuticals Inc.,63.70M,2.58,-0.39%,148.88M
635,FGEP,Fidelity Global Equity+ Fund,63.14M,10.44,0.87%,-
636,MCB,McCoy Global Inc.,62.79M,2.31,2.67%,73.03M
637,MR.UN,Melcor Real Estate Investment Trust,62.74M,4.84,-,73.55M
638,BUI,Buhler Industries Inc.,60.00M,2.4,-,264.38M
639,LN,Loncor Gold Inc.,59.53M,0.41,5.19%,-
640,EAGR,East Side Games Group Inc.,59.52M,0.73,4.29%,82.77M
641,CFX,Canfor Pulp Products Inc.,59.36M,0.92,1.10%,825.00M
642,AKT.A,AKITA Drilling Ltd.,58.61M,1.5,-1.32%,186.77M
643,HBP,Helix BioPharma Corp.,58.34M,1.19,-,-
644,ORV,Orvana Minerals Corp.,58.06M,0.42,-2.35%,124.98M
645,CCM,Canagold Resources Ltd.,57.58M,0.33,-,-
646,QQQY,Evolve NASDAQ Technology Enhanced Yield Index Fund,56.35M,26.19,1.04%,-
647,GENM,Generation Mining Limited,55.58M,0.25,4.26%,-
648,GURU,GURU Organic Energy Corp.,55.17M,1.81,-0.55%,30.77M
649,MSCL,Satellos Bioscience Inc.,54.77M,0.46,-5.15%,-
650,ATCU,Alta Copper Corp.,53.89M,0.6,-1.64%,-
651,BRMI,Boat Rocker Media Inc.,53.32M,0.94,-,374.86M
652,ICE,Canlan Ice Sports Corp.,52.95M,3.95,-0.50%,89.90M
653,HOT.UN,American Hotel Income Properties REIT LP,52.29M,0.66,1.54%,382.79M
654,LCS,Brompton Lifeco Split Corp.,51.92M,8.54,2.52%,16.35M
655,TVA.B,TVA Group Inc.,51.85M,1.23,2.50%,543.45M
656,DS,Dividend Select 15 Corp.,50.63M,6.51,-0.91%,-
657,GMX,Globex Mining Enterprises Inc.,47.09M,0.84,-,4.79M
658,MBX,Microbix Biosystems Inc.,45.65M,0.34,-,23.36M
659,IGAF,IA Clarington Loomis Global Allocation Fund,45.31M,15.25,2.08%,-
660,RTG,RTG Mining Inc.,45.15M,0.04,14.29%,-
661,AVCN,Avicanna Inc.,44.09M,0.33,-13.16%,24.87M
662,TGO,TeraGo Inc.,44.03M,2.25,1.81%,26.08M
663,XLY,Auxly Cannabis Group Inc.,43.90M,0.04,-,109.54M
664,IMP,Intermap Technologies Corporation,43.90M,0.88,-2.22%,10.79M
665,PEA,Pieridae Energy Limited,42.98M,0.25,-,272.28M
666,CEMX,CEMATRIX Corporation,39.11M,0.26,-,54.81M
667,MOGO,Mogo Inc.,39.09M,1.62,0.62%,41.20M
668,NPS,Canadian Large Cap Leaders Split Corp.,39.00M,13.15,1.15%,-
669,TSK,Talisker Resources Ltd.,38.20M,0.4,2.56%,-
670,MIN,Excelsior Mining Corp.,37.85M,0.14,16.67%,2.66M
671,INO.UN,Inovalis Real Estate Investment Trust,36.83M,1.13,-,11.76M
672,WCM.A,Wilmington Capital Management Inc.,36.78M,2.6,-,3.40M
673,PPR,Prairie Provident Resources Inc.,35.81M,0.05,-10.00%,54.09M
674,ELR,Eastern Platinum Limited,35.41M,0.18,2.86%,118.75M
675,ACD,Accord Financial Corp.,34.36M,3.99,-0.25%,28.80M
676,MPVD,Mountain Province Diamonds Inc.,33.96M,0.15,-9.38%,286.31M
677,CJR.B,Corus Entertainment Inc.,33.90M,0.17,-2.86%,1.34B
678,SBR,Silver Bear Resources Plc,33.89M,0.05,-,16.20M
679,SWP,Swiss Water Decaffeinated Coffee Inc.,33.79M,3.59,1.13%,155.97M
680,AEG,Aegis Brands Inc.,33.26M,0.39,-,18.75M
681,IFA,iFabric Corp.,32.72M,1.08,-2.70%,23.35M
682,NPK,Verde AgriTech Limited,32.66M,0.64,3.23%,27.98M
683,VGCX,Victoria Gold Corp.,32.51M,0.48,-,403.34M
684,CWL,The Caldwell Partners International Inc.,31.92M,1.06,-1.85%,90.12M
685,CWEB,"Charlotte's Web Holdings, Inc.",31.50M,0.2,8.11%,74.66M
686,BCT,BriaCell Therapeutics Corp.,31.32M,0.98,-3.92%,-
687,NVO,Novo Resources Corp.,30.80M,0.09,-,-
688,EVO,Evovest Global Equity Fund,30.74M,21.32,0.33%,-
689,PMT,Perpetual Energy Inc.,30.47M,0.43,-5.56%,37.15M
690,TI,Titan Mining Corporation,30.00M,0.22,-,76.77M
691,SOT.UN,Slate Office REIT,29.34M,0.37,1.39%,199.65M
692,LABS,MediPharm Labs Corp.,28.77M,0.07,-7.14%,37.76M
693,AVL,Avalon Advanced Materials Inc.,28.40M,0.05,-,99.00K
694,FT,Fortune Minerals Limited,27.95M,0.05,-9.09%,-
695,INC.UN,Income Financial Trust,26.84M,7.95,-0.63%,5.11M
696,UNI,Unisync Corp.,26.24M,1.38,-,90.56M
697,LSPK,LifeSpeak Inc.,25.13M,0.47,10.59%,50.67M
698,DIAM,Star Diamond Corporation,24.70M,0.04,-,-
699,FANS,FansUnite Entertainment Inc.,24.62M,0.07,-,23.72M
700,WRX,Western Resources Corp.,24.49M,0.06,-,-
701,BEK.B,The Becker Milk Company Limited,23.96M,13.25,6.77%,2.80M
702,EGLX,Enthusiast Gaming Holdings Inc.,23.37M,0.15,-,130.73M
703,OPT,Optiva Inc.,23.11M,4.19,12.63%,64.14M
704,SGNL,Signal Gold Inc.,22.96M,0.09,-,-
705,GRC,Gold Springs Resource Corp.,22.64M,0.09,6.25%,-
706,OGD,Orbit Garant Drilling Inc.,22.42M,0.55,-8.33%,181.24M
707,BU,Burcon NutraScience Corporation,22.03M,0.16,-,420.98K
708,DBO,D-BOX Technologies Inc.,22.02M,0.1,-,37.87M
709,RAV.UN,Ravensource Fund,21.40M,16.81,1.82%,3.46M
710,FOOD,Goodfood Market Corp.,21.39M,0.28,-,156.00M
711,MMP.UN,Precious Metals and Mining Trust,20.08M,1.88,-2.59%,-2.83M
712,BSX,Belo Sun Mining Corp,19.73M,0.05,-,-
713,VRTS,Vertiqal Studios Corp.,19.19M,0.02,-20.00%,4.65M
714,SFD,NXT Energy Solutions Inc.,19.12M,0.31,22.00%,2.75M
715,YRB,Yorbeau Resources Inc.,18.46M,0.04,-,60.33K
716,ELEF,Silver Elephant Mining Corp.,18.44M,0.48,-4.00%,-
717,XTD,TDb Split Corp.,17.05M,2.39,3.91%,1.64M
718,ESM,Euro Sun Mining Inc.,17.02M,0.05,-10.00%,-
719,CHW,Chesswood Group Limited,16.94M,0.9,-,97.38M
720,PME,Sentry Select Primary Metals Corp.,16.41M,2.45,1.66%,-2.57M
721,PRM,Big Pharma Split Corp.,16.18M,14.36,0.35%,3.50M
722,CFF,Conifex Timber Inc.,16.10M,0.4,-,146.54M
723,BNK,Big Banc Split Corp.,15.95M,12.12,1.85%,-
724,RVX,Resverlogix Corp.,15.27M,0.05,-9.09%,-
725,NCF,Northcliff Resources Ltd.,15.17M,0.03,-,-
726,GVC,Glacier Media Inc.,15.08M,0.12,-,146.68M
727,WLLW,Willow Biosciences Inc.,14.42M,0.1,-,1.84M
728,HWO,High Arctic Energy Services Inc,14.32M,1.15,-,66.12M
729,BKI,Black Iron Inc.,13.69M,0.05,-,-
730,FLOW,Flow Beverage Corp.,12.51M,0.17,-,43.77M
731,CSBI,CIBC Canadian Short-Term Bond Index Fund,12.39M,20.65,-,-
732,EXN,Excellon Resources Inc.,12.37M,0.13,13.64%,-
733,BNG,Bengal Energy Ltd.,12.13M,0.02,-20.00%,6.68M
734,CTX,Crescita Therapeutics Inc.,11.82M,0.6,-1.64%,16.84M
735,AVNT,Avant Brands Inc.,11.60M,1.1,-,27.70M
736,KLS,Kelso Technologies Inc.,11.16M,0.21,-,16.08M
737,SAM,Starcore International Mines Ltd.,10.95M,0.14,-3.45%,30.97M
